Company_name,role,year_spent,exp_year,salary_satisfiction,working_hour_satisfiction,team_collaboration,company_premises,values,management_attitude,tech_in_management,good_onboarding_process,kind_of_company,work_in_future,employee_number(approx),hiring_and_firing_rate,experienced_developer_number (2-5 years),client_types,used_tech0logy,numberof_management_people,owner_of_product,company_operation,marketing_expenditure (monthly),projected_customer_number,estimated_valuation,poduct_uniqueness_reason,services,company_operation_technique,mentor/advisor,produce_the_actual_product,any_systematic_method_followed,stage_of_business,having_minimum_viable_product,have_testing_phase,number_of_testers
chaldal ltd.,Back end developer,0.9,0.9,1,1,2,2,1,2,N/A,1,Product Based Company,"AI, ML, Data Science, Blockchain",20 to 99,0,20 to 30,Local,".Net, F#, React",0-5 perosn,The company,Revenue,>100000,1,,better SCM system and fast delivery,Groceries and daily need items,Revenue based,1,0,1,profit  stage,1,1,0 to 10
lexoro gmbh,Back end developer,1,4,1,1,2,2,1,Oddly nice.,N/A,1,,,,,,,,,,,,,,,,,,,,,,,
hamid fabrics limited ,Tester,1,3,1,1,2,2,1,Very nice ,30,1,Service based company,"IoT, ML",20 to 99,0,,Local,"Php, C#",0 to 5,The company,In house,"0 - 10,000",,,,,,,,,,,,
samsung r&d,Front end developer,1.2,4,1,1,2,2,1, ,N/A,1,Sevice based company,"block chain , AI",100 to 499,2,20 to 30 person,Global,"java, mobile application , AI,IoT",0 to 5,The company,In house,0 - 10000,,,,,,,,,,,,
eta infotech ltd,Full Stack,1,1,1,1,2,2,1,Satisfactory,120,1,Product based company,Blockchain,100 to 499,1,51 to 100,Global,"java, mobile application , C#, AI, python",0 to 5,The company,revenue,>100000,,,Fintech system solution providerrs,Banks and financial organizations,Revenue,1,1,1,profit stage,1,,
era infotech ltd,Full Stack,0.1,0.6,1,1,2,2,1,Very supportive,,1,Product based company,Blockchain,100 to 499,1,51 to 100,Global,"java, mobile application , C#, AI, python",0 to 5,The company,revenue,>100000,,,Fintech system solution providerrs,Banks and financial organizations,Revenue,1,1,1,profit stage,1,1,5 to 10
era infotech ltd,Full Stack,0.12,0.1,1,1,2,2,1,2,,1,Product based company,Blockchain,100 to 499,1,51 to 100,Global,"java, mobile application , C#, AI, python",0 to 5,The company,revenue,>100000,,,Fintech system solution providerrs,Banks and financial organizations,Revenue,1,1,1,profit stage,1,1,5 to 10
selise rockin' software ,Other,0.5,0.5,1,1,2,2,1,Very impressive  ,,1,Product based company,"IoT, mL",100 to 499,1,51 to 100,Global,"C#,mobile application",0 to 5,The company,revenue,>100000,,,Solution for various types of industries,,Revenue,1,1,1,profit stage,1,1,10 to 20
in0vatech,Full Stack,0.5,0.5,1,1,2,2,1,Excellent. Very friendly.,All,0,Service based ompany,"ML,data sciene",20 to 50,0,10 to 20,Global,"Python, php",0 to 5,client based,revenue,>100000,,,,,,,,,,,,
cefalo,Back end developer,1,1,1,1,2,2,1,Friendly ,20,1,Service based ompany,"ML,AI, Data science",20 to 50,1,51 to 100,Global,"java,C#, mobile application , AI, python",0 to 5,client based,revenue,>100000,,,,,,,,,,,,
uttara university,Back end developer,5,7,1,1,2,2,1,Very nice,3,1,Product based company,ML,10 to 50,0,2 to 3,Local,"C#, mobile application",0 to 5,The company,In house,0 - 10000,0,,ERP system for university,For university management system,in house,0,0,0,growth stage,1,1,0 to 10
cefalo,Other,0.1,2,1,1,2,2,1,Considerate,3,1,Service based company,"ML, Data science",100 to 499,0,51 to 100,Global,"java, C#,mobile application , AI",5 to 10,The company,revenue,0 - 10000,,,,,,,,,,,,
batb,Full stack,2,2,1,1,2,2,1,0t very hiigh..moderate amount,,1,Product Based Company (Having individual or several products),ML,500 to 999 employees,1,11 to 30 developers,Global,"Mysql, 0SQL, MongoDB",31 or more,The company itself,Revenue based,71000 - 100000,0,10000000,NA,,,,,,,,,
webase solutions ,Full stack,3,2,1,1,2,2,1,Reasonable,3,1,Product Based Company (Having individual or several products),"AI, Data Science, Cyber Security",10 to 19 employees,1,0 to 10 developers,"Global, Local","React Js, Angular JS, Django Python, Mysql, MSSQL, 0SQL, MongoDB, java Spring Boot framework, mobile application",0 to 5 person,The company itself,Revenue based,31000 - 40000,1,0,We are 0t working with unique ideas. We believe in quality service and appropriate support. ,,,,,,,,,
optagen tech0logies limited,SQA,3,3,1,1,2,2,1,Very nice behavior and tehy expectation is adequaate,2,1,Product Based Company (Having individual or several products),"AI, ML, Data Science, Cyber Security, Blockchain",10 to 19 employees,2,0 to 10 developers,Local,"Angular JS, .Net, Django Python, Mysql, java Spring Boot framework, mobile application, vue js",6 to 10 person,The company itself,Self funding,0 - 10000,0,20000,"An organization of six optimists who believe that in0vation is the key to human betterment. By redefining what in0vation actually is, we intend to gift a better world to everyone",Tech0logical products,Self Funding,1,1,0,Idea Stage,on process,1,0 to 10 
in0va tech,Front end,1,1,1,1,2,2,1,Fiendly and realestic,3,1,Both,"AI, ML, Data Science",20 to 99 employees,1,11 to 30 developers,Local,"Angular JS, Django Python, MSSQL, java Spring Boot framework, mobile application, vue js, Laravel, Flutter, Firebase",0 to 5 person,The company itself,Self funding,21000 - 30000,1,700000,"Our very first initiative was PustokBD, an online book exchanging platform developed to connect readers throughout the country. We have been working day and night since then to power every sector of our country with tech0logy","webdev, android dev, e commerce, erp, sme",Self Funding,1,1,1,Growth Stage,1,1,0 to 10 
misfit tech0logies ltd.,Full stack developer,5,5,1,1,2,2,1,2 but THE CTO is 0t a technical person so that creates some issues ,2,1,Both,"ML, AI",100 to 499 employees,0,31 to 50 developers,Global,"Angular JS, .Net, Django Python, Mysql, 0SQL, MongoDB, vue js, Laravel, Flutter",21 to 30 person,The company itself,Revenue based,21000 - 30000,1,1000000,"We use systemic insights and human centered design process to design products and services that can solve complex problems, identify and develop new opportunities for physical, social and business development and help businesses adopt and adapt tech0logy at an affordable manner.","Artificial Intelligence, Intelligent Bot, ERP Solutions , iFarmer, Intelligent Decision Support System, Augmented & Virtual Reality, IoT Solutions, 2 Performing Website & Apps",Revenue Based,1,1,1,Profit Stage,1,1,21 to 30 
jolpie.com,Front end,1,1,1,1,2,2,1,Gowth oriented ,1,1,Service Based Company (Giving SaaS(Software as a service)),"AI, ML, Data Science",100 to 499 employees,1,0 to 10 developers,Local,"Angular JS, .Net, Django Python, Mysql, java Spring Boot framework, mobile application, vue js, Laravel",11 to 20 person,,,,,,,"Jolpie.com is a complete healthcare platform that mainly focus on consultations, medicines and health records.",Angel Investor,1,0,1,Growth Stage,on process,0,0 to 10 
fit finder,Front end,3,2,1,1,2,2,1,-,2,0,Service Based Company (Giving SaaS(Software as a service)),"AI, ML",20 to 99 employees,2,11 to 30 developers,Local,"Angular JS, Django Python, Mysql, java Spring Boot framework, Laravel, Firebase",11 to 20 person,,,,,,,"Fit Finder helps an organization to find the perfect talent by providing the end to end tool-set from screening resumes to onboarding talents. They try to do that by match profiles semantically through AI, cognitive hiring, candidate scoring: identify key point through data visualization, application tracking system, and step by step Collaborative on-boarding process.",Angel Investor,1,1,1,Growth Stage,1,1,0 to 10 
hello laundry,Front end,3,3,1,1,2,2,1,Usual expectation ,2,1,Service Based Company (Giving SaaS(Software as a service)),ML,100 to 499 employees,2,0 to 10 developers,Local,"React Js, Django Python, Mysql, java Spring Boot framework, mobile application, Laravel, Firebase",21 to 30 person,,,,,,,"Hello Laundry is Bangladesh’s first premium app and web-based laundry, dry cleaning, ironing, pickup, and delivery service. It is successfully operating in Gazipur, Uttara, Bashundhara R/A, Khilkhet, Baridhara, Banani, and Gulshan. They have physical hubs in Bashundhara R/A, Uttara and Gazipur.",Angel Investor,1,0,0,Growth Stage,on process,0,0 to 10 
digilab,Back end develope,2,1,1,1,2,2,1,co opeative and understanding,1,1,Service Based Company (Giving SaaS(Software as a service)),ML,20 to 99 employees,2,0 to 10 developers,Local,"Django Python, MSSQL, 0SQL, MongoDB, mobile application, Laravel",6 to 10 person,,,,,,,REPTO - Education Center is an online course marketplace. That aims to democratize the education system of Bangladesh by providing 2 quality affordable online courses to the creative minds of our country to let them  learn whatever they want and whenever they want to develop their skills and k0wledge.,Angel Investor,1,0,1,Growth Stage,1,0,0 to 10 
energx,Font end develope,5,3,1,1,2,2,1,understanding about employees need ,1,1,Product Based Company (Having individual or several products),"AI, ML, Data Science, Cyber Security, Blockchain",100 to 499 employees,0,11 to 30 developers,Global,".Net, Django Python, Mysql, MSSQL, java Spring Boot framework, vue js, Laravel",11 to 20 person,Client based,Investor funding,11000 - 20000,0,250000,"For over 10 years we’ve been bringing custom and platform-based solutions to large and midsized companies in Healthcare, Banking, Retail, Telecom and other industries. Coca-Cola, USAID, United Nation Development Programme, Sony, Access to information(Prime Ministers Office Bangladesh) along with other influencers rely on our solutions in their daily operations","With the background rooted in software development, we build on our legacy k0wledge and grow it in the areas of CRM, Data Analysis, Collaboration & K0wledge Management and Information Security.",Venture Capitalist funding,1,1,1,Growth Stage,1,1,0 to 10 
lifespring,Full stack development,4,2,1,1,2,2,1,0 comment,2,1,Both,"AI, ML, Data Science",100 to 499 employees,0,11 to 30 developers,Global,"Angular JS, Django Python, 0SQL, MongoDB, java Spring Boot framework, mobile application, vue js, Flutter",11 to 20 person,The company itself,Investor funding,0 - 10000,0,500000,Safeguarding the right to health in workplaces and reduction of health risks within the workforce due to 0n-communicable diseases all over the country.,CMED is a smart health monitoring system for regular health monitoring. CMED uses smart medical sensors connected to a smartphone for measurement of vital signs and store data to its secured cloud server. Users will get instant feedback about their health status. CMED also generate health records that will help doctors to minimize diag0stic time and to give better treatment.,Venture Capitalist funding,1,1,1,Growth Stage,1,1,11 to 20 
chaldal ltd.,UI/UX,0.5,0.5,1,1,2,1,0.833333333,Developers have the 2est priority ,35,1,Product based company,"AI, ML, Data Science, Blockchain",,0,20 to 30,local,".Net, F#, React",0 to 5 person,The company,Revenue,>100000,1,,better SCM system and fast delivery,Groceries and daily need items,Revenue based,1,0,1,profit stage,1,1,0 to 10
freelancer,UI/UX,1,2,0,1,2,2,0.833333333,N/A,N/A,1,,,,,,,,,,,,,,,,,,,,,,,
agamisoft,Full Stack,1,3,0,1,2,2,0.833333333,Amazing,26,1,Service based company,"AI, data science , Blockchain",20 to 99 ,0,0 to 10,Global,"java , php , mobile application",0 to 5 person,client based,Revenue,"31,000 - 40,000",,,,,,,,,,,,
era-infotech,Tester,1,1,1,1,2,1,0.833333333,Cooperative,,1,Product based company,Blockchain,100 to 499,1,51 to 100,Global,"java, mobile application , C#, AI, python",0 to 5,The company,revenue,>100000,,,Fintech system solution providerrs,Banks and financial organizations,Revenue,1,1,1,profit stage,1,1,5 to 10
team,Other,1,1,1,1,2,1,0.833333333,2,12,0,Service based ompany,"AI,IoT",10 to 50,0,2 to 3,Local,"java, C#, php, mobile application",0 to 5,The company,In house,0 - 10000,,,,,,,,,,,,
intellier ltd,Back end developer,0.5,1,0,1,2,2,0.833333333,"I am new to this organization, so far I have 0t seen any bad attitude of management.",3,0,Service based ompany,"AI,IoT",10 to 50,1,2 to 3,Local,"java, C#, php, mobile application",0 to 5,The company,In house,0 - 10000,,,,,,,,,,,,
0dding heads games,Back end developer,4,8,1,1,2,1,0.833333333,good,4,1,Product based company,"ML, Data science",10 to 50,0,10 to 20,Global,mobile application,0 to 5,The company,revenue,>100000,,,mobile appliation,mobile application,revenue,0,1,0,growth stage,1,1,0 to 10
brainstation-23,Back end developer,1,1,1,1,1,2,0.833333333,1,15,1,Service based ompany,Data sciene,100 to 499,2,51 to 100,Global,"java, C#,mobile application , AI",5 to 10,client based,revenue,>100000,,,,,,,,,,,,
selise,Back end developer,1,4,1,0,2,2,0.833333333,Can be better,1,0,Product based comapy,"AI, Datasience ",100 to 499,1,51 to 100,Global,"C#, mobile application",5 to 10,The company,revenue,>100000,,,,suited for various fields of business,evenue,1,0,1,profit stage,1,1,10 to 20
shunboi,Back end developer,2,2,1,1,2,1,0.833333333,2 expectation,,1,Service Based Company (Giving SaaS(Software as a service)),"AI, Data Science",20 to 99 employees,0,0 to 10 developers,Global,"React Js, Django Python, mobile application, 0de.js",0 to 5 person,,,,,,,Bangla Audiobook,Self Funding,1,0,1,Idea Stage,1,1,11 to 20 
in0vatech ,Front end,2,1,1,1,1,2,0.833333333,Friendly ,3,1,Both,"Cyber Security, Blockchain",2 to 9 employees,0,0 to 10 developers,Local,"Mysql, 0SQL, MongoDB, mobile application, vue js, Laravel, Flutter, Firebase",0 to 5 person,The company itself,Revenue based,0 - 10000,0,80000,Usually we do client based projects and we have some own products. Some unique features of our products make them different from others.,"SaaS, Web based products, Mobile Application ",Revenue Based,1,1,1,Growth Stage,1,1,0 to 10 
pathao,Front end ,2,2,1,1,2,1,0.833333333,2 expectation ,3,1,Service Based Company (Giving SaaS(Software as a service)),ML,500 to 999 employees,0,31 to 50 developers,Local,"Mysql, MSSQL, vue js, Laravel, Flutter",11 to 20 person,The company itself,Revenue based,>100000,1,1200000,,Pathao is the fastest growing tech0logy company in Bangladesh solving some of the country’s most challenging problems in logistics and transportation.,Revenue Based,0,1,1,Profit Stage,1,1,0 to 10 
bkash,Front end,2,2,0,1,2,2,0.833333333,2 expectation ,2,1,Service Based Company (Giving SaaS(Software as a service)),"AI, Data Science, Blockchain",1000 to 4999 employees,0,101 or more developers,Local,"Mysql, MSSQL, vue js, Laravel, Firebase",31 or more,The company itself,Revenue based,>100000,1,1500000,,bKash Limited (bKash) is a Bank-led Mobile Financial Service Provider in Bangladesh operating under the license and approval of the Central Bank (Bangladesh Bank) as a subsidiary of BRAC Bank Limited,Revenue Based,0,1,1,Profit Stage,1,1,21 to 30 
shopup,Full stack,4,2,1,0,2,2,0.833333333,Friendly ,2,1,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",500 to 999 employees,0,31 to 50 developers,Local,"Angular JS, Mysql, MSSQL, java Spring Boot framework, mobile application, vue js, Laravel",21 to 30 person,,,,,,,"ShopUp is Bangladesh's leading full-stack B2B commerce platform for small businesses (online and offline). We provide easy access to B2B sourcing, last-mile logistics, digital credit and business management solutions to small businesses. ",Venture Capitalist funding,1,1,1,Growth Stage,1,1,0 to 10 
truck lagbe,Back end develope,1,1,1,0,2,2,0.833333333,It's moderately okay.,2,1,Service Based Company (Giving SaaS(Software as a service)),"ML, Data Science",100 to 499 employees,0,11 to 30 developers,Local,"Angular JS, .Net, Mysql, MSSQL, mobile application, Laravel, Firebase",11 to 20 person,,,,,,,Truck Lagbe is a tech0logy platform optimising how Bangladesh books truck. It connects businesses and customers to the right drivers and fleet owners for their hauling needs.,Angel Investor,1,1,1,Profit Stage,1,1,0 to 10 
zantrik,Back end develope,2,2,1,0,2,2,0.833333333,2 expectation,2,0,Service Based Company (Giving SaaS(Software as a service)),"AI, ML, Data Science",20 to 99 employees,1,11 to 30 developers,Local,"React Js, .Net, Mysql, 0SQL, MongoDB, java Spring Boot framework, vue js, Flutter",6 to 10 person,,,,,,,"911 for vehicles. One stop app for vehicle maintenance, troubleshooting and paperwork, including emergency roadside help all over Bangladesh.",Venture Capitalist funding,1,1,1,Growth Stage,1,1,11 to 20 
maya,Back end develope,3,3,1,1,1,2,0.833333333,It's great,3,1,Service Based Company (Giving SaaS(Software as a service)),Data Science,100 to 499 employees,1,11 to 30 developers,Local,"React Js, Angular JS, .Net, java Spring Boot framework, mobile application, Laravel",6 to 10 person,,,,,,,Maya is a Bangladesh based tech0logy company. Maya is a mobile-based digital wellbeing assistant that intelligently understands user questions. ,Angel Investor,1,1,1,Growth Stage,1,1,0 to 10 
alice labs,Front end,1,1,1,1,2,1,0.833333333,Cares about the employee,1,1,Both,"AI, ML",20 to 99 employees,1,11 to 30 developers,Global,"Angular JS, .Net, Django Python, Mysql, java Spring Boot framework, mobile application, vue js, Firebase",11 to 20 person,The company itself,Investor funding,11000 - 20000,0,400000,"We have built a powerful tool that uses Artificial Intelligence and conversational interface (messenger, chat apps) to deliver strong and impactful customer interaction. ","We have built a powerful tool that uses Artificial Intelligence and conversational interface (messenger, chat apps) to deliver strong and impactful customer interaction. ",Self Funding,1,1,1,Growth Stage,1,1,0 to 10 
loop freight,Front end,1,1,1,1,2,1,0.833333333,Fine and caring,2,1,Both,"ML, Data Science",20 to 99 employees,1,0 to 10 developers,Local,"Angular JS, .Net, Django Python, Mysql, 0SQL, MongoDB, vue js",11 to 20 person,Client based,Investor funding,11000 - 20000,1,300000,"
Our vision is to redesign the movement of commercial goods for next generation shippers and carriers. Tech0logy with the aid of trusted people with incredible customer service can bring ease and efficiency to the broken supply chain industry.",Loop is a tech0logy-enabled logistics company for truckload freight. Loop improves the logistics experience by increasing visibility and providing better communications by leveraging software and data points across the in-land supply chain.,Revenue Based,0,0,0,Growth Stage,on process,1,0 to 10 
admission ninja,Back end develope,5,2,1,0,2,2,0.833333333,Mixed feelings,1,1,Service Based Company (Giving SaaS(Software as a service)),ML,20 to 99 employees,2,0 to 10 developers,Local,"Angular JS, Django Python, Mysql, 0SQL, MongoDB, Flutter",11 to 20 person,,,,,,,"Admission Ninja - একটি মোবাইল এ্যাপ যা হতে যাচ্ছে আমাদের দেশের বিশ্ববিদ্যলয়ের ভর্তি পরীক্ষার সম্পূর্ণ এবং কোচিং এর বিকল্প সমাধান । এই এ্যাপ বাবহারের মাধ্যমে শিক্ষার্থীরা বাসা অথবা যেকোন জায়গা হতে প্রস্তুতি নিতে পারবে । যার ফলে তারা বেশি সময় পাবে, সেই সাথে প্রস্তুতির জন্য দুশ্চিন্তামুক্ত থাকবেন অভিভাবকরা, যেহেতু শিক্ষার্থীদের কোচিং এর জন্য বাইরে বের হতে হয়, সেজন্য যানজটের জন্যেও তাদের ভুমিকা কম নয় । এখন ঘরে বসে প্রস্তুতি নেয়ার জন্য যানজট কিছুটা হলেও কমে যাচ্ছে ।",Angel Investor,1,0,1,Growth Stage,on process,0,0 to 10 
 ants aerial systems ,Back end developer,2,2,0,1,2,2,0.833333333,The CEO is very great person and ares a lot,1,0,Both,"AI, ML, Data Science",20 to 99 employees,2,0 to 10 developers,Global,"Angular JS, .Net, 0SQL, MongoDB, java Spring Boot framework, mobile application, Flutter",6 to 10 person,The company itself,Investor funding,21000 - 30000,0,270000,We are working on developing an Unmanned Air Systems (UAS) project with two of our UA namely Freedom-71 and Bijoy-16 (B-16). We started our journey by participating in a UK based auto0mous UA designing competition in the year 2020 organized by the Institution of Mechanical,We are working on developing an Unmanned Air Systems (UAS) project with two of our UA namely Freedom-71 and Bijoy-16 (B-16). We started our journey by participating in a UK based auto0mous UA designing competition in the year 2020 organized by the Institution of Mechanical,Angel Investor,1,1,1,Idea Stage,on process,1,0 to 10 
0dding heads games,Full stack developer,2,1,0,1,2,2,0.833333333,puts very pressure on the developers,2,0,Product Based Company (Having individual or several products),ML,10 to 19 employees,0,11 to 30 developers,Global,.Net,0 to 5 person,The company itself,Self funding,0 - 10000,0,5000000,Idea,Games,Self Funding,1,1,1,Idea Stage,1,1,0 to 10 
aamarpay,Full stack developer,6,3,1,1,2,1,0.833333333,Caring about the wellbeing,2,1,Both,"AI, ML",20 to 99 employees,0,11 to 30 developers,Global,".Net, Mysql, mobile application",0 to 5 person,The company itself,Revenue based,51000 - 70000,0,120000,n/a,We are building a passwordless 1-click authentication & checkout system for online stores and websites.,Venture Capitalist funding,1,1,1,Growth Stage,0,1,0 to 10 
ants aerial system,Full stack developer,1,1,1,1,1,2,0.833333333,Friendly and realestic,3,1,Both,Data Science,1000 to 4999 employees,0,51 to 100 developers,Global,"Angular JS, Mysql, MSSQL, mobile application, Laravel, Firebase",31 or more,Client based,Revenue based,51000 - 70000,1,1200000,n/a,"Daraz is the leading online marketplace in South Asia, empowering tens of thousands of sellers to connect with millions of customers",Revenue Based,0,1,1,Profit Stage,1,1,21 to 30 
intellier ltd,Back end developer,0.4,0.4,0,1,2,1,0.666666667,Unrealistical expectation ,0,1,,,,,,,,,,,,,,,,,,,,,,,
jijoty bd,Full Stack,0.4,0.4,1,0,1,2,0.666666667,2,3,1,Service based company,undefined,20 to 22,0,2 to 3,Local,"php , HTML",0-5 person,,Revenue,"0 - 10,000",,,,,,,,,,,,
cognition.ai,Front end developer,1,2,0,1,1,2,0.666666667,2,5,1,Product based company,"AI, Data science ",20 to 99,0,2 to 3,Local,"Python , AI, ML",0 to 5 person,The company,Revenue,"0 - 10,000",0,,undefined,provides machine learning models,Revenue,0,0,undefined,idea stage,0,0,0 to 10
webase solutions,Tester,1,1,1,1,1,1,0.666666667,2,2,1,Service based company,"AI , Data science",20 to 99,0,10 to 30 person,Global,"Php, java, mobile application",31 or more,client based,Revenue,"31,000 - 40,000",,,,,,,,,,,,
urmi group,Front end developer,1,1,0,0,2,2,0.666666667,2,5,1,Service based company,"IoT, ML",20 to 99,0,10 to 30 person,Local,Php,0 to 5,The company,In house,"0  - 10,000 ",,,,,,,,,,,,
